set_number,name,piece_count,image_url
75363,The Mandalorian N-1 Starfighter Microfighter,88,
75364,New Republic E-wing vs. Shin Hati's Starfighter,1056,
75365,Yavin 4 Rebel Base,1066,
75366,LEGO Star Wars Advent Calendar,320,
75367,Venator-class Republic Attack Cruiser,5374,
75368,Darth Vader Mech,139,
75369,Boba Fett Mech,155,
75370,Stormtrooper Mech,138,
75371,Chewbacca,2319,
75372,Clone Trooper & Battle Droid Battle Pack,215,
75373,Ambush on Mandalore Battle Pack ,109,
75374,The Onyx Cinder,1325,
75375,Millennium Falcon,921,
75376,Tantive IV,654,
75377,Invisible Hand,557,
75378,BARC Speeder Escape ,221,
75379,R2-D2,1050,
75380,Mos Espa Podrace Diorama,718,
75381,Droideka,583,
75382,TIE Interceptor,1931,
75383,Darth Maul's Sith Infiltrator,640,
75384,The Crimson Firehawk,136,
75385,Ahsoka Tano's Duel on Peridea,382,
75386,Paz Vizsla and Moff Gideon Battle,289,
75387,Boarding the Tantive IV,502,
75388,Jedi Bob's Starfighter,305,
75389,The Dark Falcon,1579,
75390,Luke Skywalker X-wing Mech ,195,
75391,Captain Rex Y-wing Microfighter ,99,
75392,Creative Play Droid Builder,1186,
75393,TIE Fighter & X-wing Mash-up,1063,
75394,Imperial Star Destroyer,1555,
75395,Star Wars Advent Calendar 2024,368,
75396,Desert Skiff & Sarlacc Pit,558,
75397,Jabba's Sail Barge,3942,
75398,C-3PO,1138,
75512,Millennium Falcon Cockpit,203,
75522,Mini Boost Droid Commander,62,
75523,Scarif Stormtrooper,89,
75524,Chirrut Îmwe,87,
75525,Baze Malbus,148,
75526,Elite TIE Fighter Pilot,94,
75528,Rey,85,
75529,Elite Praetorian Guard,92,
75530,Chewbacca,179,
75531,Stormtrooper Commander,100,
75532,Scout Trooper & Speeder Bike,452,
75533,Boba Fett,144,
75534,Darth Vader,168,
75535,Han Solo,101,
75536,Range Trooper,101,
75537,Darth Maul,104,
77901,Sith Trooper Bust,484,
77904,Nebulon-B Frigate,459,
