set_number,name,piece_count,image_url
7151,Sith Infiltrator,244,https://images.brickset.com/sets/small/7151-1.jpg?200709280632
7152,TIE Fighter & Y-wing,410,https://images.brickset.com/sets/small/7152-1.jpg?200709280621
7153,Jango Fett's Slave I,369,https://images.brickset.com/sets/small/7153-1.jpg?200709280636
7155,Trade Federation AAT,158,https://images.brickset.com/sets/small/7155-1.jpg?200709280632
7159,Star Wars Podracing Bucket,292,https://images.brickset.com/sets/small/7159-1.jpg?200709280632
7161,Gungan Sub,379,https://images.brickset.com/sets/small/7161-1.jpg?200709280632
7163,Republic Gunship,686,https://images.brickset.com/sets/small/7163-1.jpg?200709280636
7166,Imperial Shuttle,238,https://images.brickset.com/sets/small/7166-1.jpg?200709280621
7171,Mos Espa Podrace,896,https://images.brickset.com/sets/small/7171-1.jpg?200709280632
7180,B-wing at Rebel Control Centre,338,https://images.brickset.com/sets/small/7180-1.jpg?200709280621
7181,TIE Interceptor,703,https://images.brickset.com/sets/small/7181-1.jpg?199910241113
7184,Trade Federation MTT,470,https://images.brickset.com/sets/small/7184-1.jpg?200709280633
7186,Watto's Junkyard,443,https://images.brickset.com/sets/small/7186-1.jpg?200709280633
7190,Millennium Falcon,663,https://images.brickset.com/sets/small/7190-1.jpg?200709280622
7191,X-wing Fighter,1300,https://images.brickset.com/sets/small/7191-1.jpg?199910241113
7194,Yoda,1075,https://images.brickset.com/sets/small/7194-1.jpg?200109211200
7200,Final Duel I,29,https://images.brickset.com/sets/small/7200-1.jpg?200709280622
7201,Final Duel II,23,https://images.brickset.com/sets/small/7201-1.jpg?200709280622
7203,Jedi Defense I,59,https://images.brickset.com/sets/small/7203-1.jpg?200709280633
7204,Jedi Defense II,53,https://images.brickset.com/sets/small/7204-1.jpg?200709280633
7250,Clone Scout Walker,108,https://images.brickset.com/sets/small/7250-1.jpg?200709280637
7251,Darth Vader Transformation,53,https://images.brickset.com/sets/small/7251-1.jpg?200709280637
7252,Droid Tri-Fighter,148,https://images.brickset.com/sets/small/7252-1.jpg?200709280637
7255,General Grievous Chase,111,https://images.brickset.com/sets/small/7255-1.jpg?200709280637
7256,Jedi Starfighter and Vulture Droid,202,https://images.brickset.com/sets/small/7256-1.jpg?200709280637
7257,Ultimate Lightsaber Duel,282,https://images.brickset.com/sets/small/7257-1.jpg?200709280637
7258,Wookiee Attack,366,https://images.brickset.com/sets/small/7258-1.jpg?200709280638
7259,ARC-170 Fighter,396,https://images.brickset.com/sets/small/7259-1.jpg?200709280638
7260,Wookiee Catamaran,376,https://images.brickset.com/sets/small/7260-1.jpg?200709280638
7261,Clone Turbo Tank,801,https://images.brickset.com/sets/small/7261-1.jpg?200709280638
7262,TIE Fighter and Y-wing,412,https://images.brickset.com/sets/small/7262-1.jpg?200709280622
7263,TIE Fighter,159,https://images.brickset.com/sets/small/7263-1.jpg?200709280623
7264,Imperial Inspection,367,https://images.brickset.com/sets/small/7264-1.jpg?200709280623
7283,Ultimate Space Battle,567,https://images.brickset.com/sets/small/7283-1.jpg?201910160842
7654,Droids Battle Pack,102,https://images.brickset.com/sets/small/7654-1.jpg?200709280638
7655,Clone Troopers Battle Pack,58,https://images.brickset.com/sets/small/7655-1.jpg?200709280639
7656,General Grievous Starfighter,232,https://images.brickset.com/sets/small/7656-1.jpg?200709280639
7657,AT-ST,244,https://images.brickset.com/sets/small/7657-1.jpg?200709280623
7658,Y-wing Fighter,454,https://images.brickset.com/sets/small/7658-1.jpg?200709280623
7659,Imperial Landing Craft,471,https://images.brickset.com/sets/small/7659-1.jpg?200709280624
7660,Naboo N-1 Starfighter with Vulture Droid,280,https://images.brickset.com/sets/small/7660-1.jpg?200709280633
7661,Jedi Starfighter with Hyperdrive Booster Ring,575,https://images.brickset.com/sets/small/7661-1.jpg?200709280639
7662,Trade Federation MTT,1330,https://images.brickset.com/sets/small/7662-1.jpg?200709280633
7663,Sith Infiltrator,310,https://images.brickset.com/sets/small/7663-1.jpg?200710080822
7664,TIE Crawler,548,https://images.brickset.com/sets/small/7664-1.jpg?200801171242
7665,Republic Cruiser,919,https://images.brickset.com/sets/small/7665-1.jpg?200709280634
7666,Hoth Rebel Base,548,https://images.brickset.com/sets/small/7666-1.jpg?200709280624
7667,Imperial Dropship,81,https://images.brickset.com/sets/small/7667-1.jpg?200801171243
7668,Rebel Scout Speeder,82,https://images.brickset.com/sets/small/7668-1.jpg?200712160629
7669,Anakin's Jedi Starfighter,153,https://images.brickset.com/sets/small/7669-1.jpg?200712210129
7670,Hailfire Droid & Spider Droid,249,https://images.brickset.com/sets/small/7670-1.jpg?200712160632
7671,AT-AP Walker,392,https://images.brickset.com/sets/small/7671-1.jpg?200712160629
7672,Rogue Shadow,482,https://images.brickset.com/sets/small/7672-1.jpg?200712210130
7673,Magna Guard Starfighter,431,https://images.brickset.com/sets/small/7673-1.jpg?200807160536
7674,V-19 Torrent,471,https://images.brickset.com/sets/small/7674-1.jpg?200807170546
7675,AT-TE Walker,798,https://images.brickset.com/sets/small/7675-1.jpg?200807200942
7676,Republic Attack Gunship,1034,https://images.brickset.com/sets/small/7676-1.jpg?200807230101
7678,Droid Gunship,329,https://images.brickset.com/sets/small/7678-1.jpg?200807170546
7679,Republic Fighter Tank,592,https://images.brickset.com/sets/small/7679-1.jpg?200807261246
7680,The Twilight,882,https://images.brickset.com/sets/small/7680-1.jpg?200807261242
7681,Separatist Spider Droid,206,https://images.brickset.com/sets/small/7681-1.jpg?200807261240
7748,Corporate Alliance Tank Droid,216,https://images.brickset.com/sets/small/7748-1.jpg?200905051225
7749,Echo Base,155,https://images.brickset.com/sets/small/7749-1.jpg?200905210339
7751,Ahsoka's Starfighter and Vulture Droid,291,https://images.brickset.com/sets/small/7751-1.jpg?200812240920
7752,Count Dooku's Solar Sailer,385,https://images.brickset.com/sets/small/7752-1.jpg?200812240920
7753,Pirate Tank,372,https://images.brickset.com/sets/small/7753-1.jpg?200904250325
7754,Home One Mon Calamari Star Cruiser,789,https://images.brickset.com/sets/small/7754-1.jpg?200812230554
7778,Midi-scale Millennium Falcon,356,https://images.brickset.com/sets/small/7778-1.jpg?200904250333
7868,Mace Windu's Jedi Starfighter,309,https://images.brickset.com/sets/small/7868-1.jpg?201012170346
7869,Battle for Geonosis,331,https://images.brickset.com/sets/small/7869-1.jpg?201012221107
7877,Naboo Starfighter,318,https://images.brickset.com/sets/small/7877-1.jpg?201103240413
7879,Hoth Echo Base,773,https://images.brickset.com/sets/small/7879-1.jpg?201106010207
7913,Clone Trooper Battle Pack,85,https://images.brickset.com/sets/small/7913-1.jpg?201012230326
7914,Mandalorian Battle Pack,68,https://images.brickset.com/sets/small/7914-1.jpg?201012230326
7915,Imperial V-wing Starfighter,139,https://images.brickset.com/sets/small/7915-1.jpg?201012221108
7929,The Battle of Naboo,241,https://images.brickset.com/sets/small/7929-1.jpg?201012221109
7930,Bounty Hunter Assault Gunship,389,https://images.brickset.com/sets/small/7930-1.jpg?201012230325
7931,T-6 Jedi Shuttle,389,https://images.brickset.com/sets/small/7931-1.jpg?201012230324
7956,Ewok Attack,166,https://images.brickset.com/sets/small/7956-1.jpg?201102131044
7957,Sith Nightspeeder,214,https://images.brickset.com/sets/small/7957-1.jpg?201102131044
7958,LEGO Star Wars Advent Calendar,266,https://images.brickset.com/sets/small/7958-1.jpg?201605181105
7959,Geonosian Starfighter,155,https://images.brickset.com/sets/small/7959-1.jpg?201102131044
7961,Darth Maul's Sith Infiltrator,479,https://images.brickset.com/sets/small/7961-1.jpg?201102131044
7962,Anakin Skywalker and Sebulba's Podracers,810,https://images.brickset.com/sets/small/7962-1.jpg?201102131044
7964,Republic Frigate,1015,https://images.brickset.com/sets/small/7964-1.jpg?201102131044
7965,Millennium Falcon,1254,https://images.brickset.com/sets/small/7965-1.jpg?201102131044
8000,Pit Droid,223,https://images.brickset.com/sets/small/8000-1.jpg?200709281002
8001,Battle Droid,363,https://images.brickset.com/sets/small/8001-1.jpg?200709281003
8002,Destroyer Droid,558,https://images.brickset.com/sets/small/8002-1.jpg?200709281003
8007,C-3PO,341,https://images.brickset.com/sets/small/8007-1.jpg?200709281005
8008,Stormtrooper,361,https://images.brickset.com/sets/small/8008-1.jpg?200709281006
8009,R2-D2,240,https://images.brickset.com/sets/small/8009-1.jpg?200709281006
8010,Darth Vader,391,https://images.brickset.com/sets/small/8010-1.jpg?200709281007
8011,Jango Fett,422,https://images.brickset.com/sets/small/8011-1.jpg?200709281007
8012,Super Battle Droid,379,https://images.brickset.com/sets/small/8012-1.jpg?200709281007
8014,Clone Walker Battle Pack,72,https://images.brickset.com/sets/small/8014-1.jpg?200812111117
8015,Assassin Droids Battle Pack,94,https://images.brickset.com/sets/small/8015-1.jpg?200812111117
8016,Hyena Droid Bomber,232,https://images.brickset.com/sets/small/8016-1.jpg?200812111117
8017,Darth Vader's TIE Fighter,251,https://images.brickset.com/sets/small/8017-1.jpg?200812011049
8018,Armored Assault Tank (AAT),407,https://images.brickset.com/sets/small/8018-1.jpg?200812111117
